Item ID,Item,POS,Translation,Lesson Title,Reading or Listening,Course Code,CEFR Level,Domain,Context,Target Word
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of dust and gas around a star is thought to be responsible for the formation of planets.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of small particles can eventually lead to significant growth in celestial bodies.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"Over millions of years, the accretion of sediments on the ocean floor formed thick layers of rock.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The geological phenomenon known as accretion occurs when small particles and pebbles are gradually accumulated to form larger structures such as mountains.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of interstellar dust and gas gradually formed the nebula into a protoplanetary disk.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"The Earth's accretion began about 4.6 billion years ago, with the formation of the solar system from a cloud of gas and dust.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of cosmic dust on the surface of Mars has gradually altered its mineralogical composition over time.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The theory of accretion describes the formation of planets through the accumulation of material from a cloud of debris.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of matter onto the black hole led to increased gravitational pull and the release of enormous amounts of energy.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"During the accretion phase, smaller grains and pieces of debris are pulled together by gravitational forces to form larger bodies.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of interstellar dust and gas gradually increased the size of the terrestrial planets.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"In geology, sedimentary rocks can form through the process of accretion.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"As the accretion of mass around the protostar increased, its gravitational pull became stronger, attracting even more gas and dust towards it.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"In coastal regions, sea sand and waves contribute to the process of accretion by depositing sediment on the shoreline.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of sediment over time has created new landforms along the coastline.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of matter onto the black hole's event horizon releases an immense amount of energy in the form of X-rays.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"Scientists have found evidence of accretion at the center of a distant quasar, which suggests that the object has grown through the accumulation of matter.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of new material onto the black hole led to an increase in its mass and gravitational pull.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,"During the accretion phase, celestial bodies slowly draw closer to each other.",accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of dust and gas onto a protoplanet can lead to the formation of an atmosphere.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The development of malignant tumors can be attributed to both genetic and environmental accretions.,accretions
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,Estuaries are formed when river sediments build up and result in the accretion of new land.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of matter onto the black hole is responsible for the intense radiation observed by astronomers.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The geological process known as accretion involves the buildup of sediment over time to form large landmasses.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of dust and gas on the surface of a planet or moon can lead to the formation of new geological features.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of ice crystals on the surface of a plant can protect it from the harsh winter conditions.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of matter onto the black hole's event horizon is thought to be responsible for the intense X-ray emission observed from these objects.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The company has achieved significant accretion over the past year due to its successful acquisitions and mergers.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,The accretion of dust and gas onto the protoplanetary disk led to the formation of planets.,accretion
47,accretion,noun,*accrétion,The Carbon Cycle,reading,LANG1861,B1,Science,Her research focused on the process of accretion and its role in the formation of galaxies.,accretion
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The team has achieved great success in creating a new vaccine that can prevent the disease.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The research team's groundbreaking discovery achieved significant advancements in the field of genetics.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The team's research achieved remarkable breakthroughs in understanding the genetic basis of certain diseases.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The team's ground-breaking research has achieved remarkable progress in understanding the genetic basis of rare diseases.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"In the field of space exploration, scientists have achieved significant progress in understanding the origins and evolution of the universe through the Hubble Space Telescope.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The scientific community achieved a remarkable breakthrough in genetic research when they successfully sequenced the human genome.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The scientist's groundbreaking research has achieved significant progress in understanding the intricate mechanisms of cellular processes.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"Patel achieved remarkable success in her research on stem cell therapy, which has opened new avenues for treating previously incurable diseases.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The team's groundbreaking research had achieved remarkable breakthroughs in understanding the genetic basis of rare diseases.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"Studying science is a challenging but rewarding path, and achieving success in this field requires dedication and perseverance.",achieving
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The scientist's groundbreaking research has achieved significant milestones in understanding the complexities of quantum physics.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"The scientist's tireless efforts have achieved significant breakthroughs in the field of quantum computing, bringing closer the possibility of developing more powerful and efficient computers.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The scientist's groundbreaking research has achieved significant progress towards understanding the intricate mechanisms of the human brain.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"Scientific achievements, such as the invention of the microscope, have significantly advanced our understanding of the world.",achievements
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The team's meticulous research and innovative approach ultimately achieved a breakthrough in understanding the complexities of the human genome.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"Assistant  The scientist's groundbreaking research achieved a significant milestone in the field of genetics, unlocking new possibilities for understanding and treating genetic diseases.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,Recent scientific advancements in stem cell technology have achieved remarkable progress towards the goal of regenerating damaged tissues.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,Scientists have achieved a breakthrough in understanding the origins of the universe through the latest observations from the Hubble Space Telescope.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"The scientists working on the project have achieved a breakthrough in gene editing, which could lead to new treatments for genetic diseases.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The researcher's groundbreaking discovery achieved widespread recognition and accolades within the scientific community.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,Lee's groundbreaking research has achieved remarkable progress in understanding the genetic basis of rare diseases.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The students had to achieve their scientific goals in order to pass the exam and graduate.,achieve
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"Through rigorous experimentation and collaboration, scientists have achieved a breakthrough in cancer research, discovering a novel treatment that targets the root cause of the disease.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The team of scientists achieved their goal of developing a vaccine for the deadly disease within a record time frame.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"After years of dedicated research, the scientist finally achieved a remarkable breakthrough in the field of genetic engineering, successfully modifying the DNA of a human cell.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,Scientists achieved a breakthrough in cancer research by developing a new treatment that targets specific genes.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,The scientist achieved a breakthrough in genetic research when she successfully sequenced the human genome.,achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"The scientists have achieved a breakthrough in their research on climate change, making a significant contribution to our understanding of the issue.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"The team of scientists achieved a breakthrough in their research, finding a new way to harness solar energy.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,"During the experiment, the scientists achieved a breakthrough by developing a new method to analyze data.",achieved
112,achieve,verb,réaliser,Ecocities,reading,LANG1861,B1,Science,She achieved groundbreaking results in her research on genetic modification techniques.,achieved
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The agenda for the weekly meeting included discussions on the latest developments in quantum physics.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The agenda of the scientific conference focused on presenting new research findings on climate change and discussing potential solutions to mitigate its impact.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"I believe that politicians should have an agenda for science and technology, not only to promote innovation but also to ensure safety.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,A scientific conference may have an agenda that lists the topics for discussion.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The agenda of the scientific conference focused on presenting new research findings and discussing their implications for our understanding of the universe.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"During her visit to the laboratory, she was able to discuss the agenda of the research group with the lead scientist.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,An agenda is a list of topics that scientists want to explore or investigate during their research.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"In many scientific conferences, researchers present their findings based on an agenda that outlines the topics to be covered.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The scientists presented their research findings as part of their agenda at the annual conference.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The political agenda of the government often impacts the funding and direction of scientific research in our country.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"As an agenda for future research, we proposed exploring the effects of varying levels of light on plant growth.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The research agenda for this year focuses on exploring new ways to develop sustainable energy sources.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The agenda for the meeting included discussing recent advances in materials science and their potential applications.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"In the field of science, an agenda refers to a list of topics or experiments that need to be completed before the research team can move on to the next phase of their project.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"During her presentation, she discussed the science agenda set by the government for the next five years.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The agenda for the upcoming conference includes keynote speeches and presentations on current research findings.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The research agenda for this conference focuses on the latest developments in quantum mechanics and their applications.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The scientists met to discuss their research agenda for the upcoming semester.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"In political science, an agenda refers to a list or set of topics that a government or organization intends to address during a particular period.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The research group presented their agenda for exploring the impact of climate change on marine ecosystems.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"Science often has its own agenda, which can sometimes conflict with social and ethical concerns.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,Scientists often have an agenda when it comes to research; they are looking for ways to improve upon previous findings or to develop new technologies.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"The agenda for the upcoming science conference includes presentations on climate change, genetic engineering, and space exploration.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"The research agenda for the next year includes three main objectives: to explore the relationship between genetics and environmental factors affecting disease progression, to investigate new drug targets for cancer treatment, and to develop strategies for early detection and prevention of Alzheimer's disease.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"The scientist prepared an agenda for his research presentation, which included the objectives, methods, results, and conclusions.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,"As an assistant, I suggest that we should add the topic of climate change to our agenda for the upcoming meeting.",agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,My research agenda includes investigating the correlation between environmental factors and genetic mutations.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,An agenda for the meeting was prepared by the project manager to keep track of the main points and goals discussed during the event.,agenda
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,Scientists have developed various agendas to tackle climate change.,agendas
560,agenda,noun,"ordre du jour, programme",The Poor will pay for global warming,reading,LANG1861,B1,Science,The scientist presented her research agenda for the next year.,agenda
583,advocate,verb,prôner,Moving African rhinos,reading,LANG1861,B1,Science,Scientists advocate for the protection of endangered species to maintain biodiversity and ecosystem balance.,advocate
